"","Date","Total"
"1","01/01/2019",1
"2","01/01/2020",1
"3","01/02/2019",1
"4","01/02/2020",1
"5","01/02/2021",2
"6","01/03/2019",3
"7","01/03/2021",1
"8","01/04/2019",1
"9","01/04/2021",3
"10","01/05/2021",1
"11","01/06/2019",1
"12","01/06/2020",1
"13","01/07/2019",1
"14","01/07/2020",1
"15","01/07/2021",1
"16","01/08/2021",1
"17","01/09/2020",2
"18","01/10/2019",1
"19","01/10/2020",1
"20","01/10/2021",1
"21","01/11/2020",1
"22","01/12/2019",2
"23","01/13/2019",2
"24","01/13/2020",3
"25","01/13/2021",1
"26","01/14/2019",2
"27","01/14/2020",2
"28","01/15/2019",1
"29","01/15/2020",1
"30","01/16/2019",1
"31","01/17/2019",3
"32","01/17/2020",2
"33","01/17/2021",1
"34","01/18/2019",1
"35","01/19/2020",1
"36","01/20/2020",1
"37","01/20/2021",1
"38","01/21/2020",1
"39","01/21/2021",1
"40","01/22/2019",1
"41","01/22/2020",1
"42","01/23/2019",2
"43","01/24/2019",2
"44","01/24/2020",3
"45","01/25/2019",1
"46","01/26/2020",1
"47","01/27/2020",1
"48","01/28/2019",1
"49","01/29/2019",1
"50","01/29/2020",2
"51","01/30/2019",5
"52","01/30/2020",1
"53","01/31/2019",2
"54","01/31/2020",3
"55","01/31/2021",1
"56","02/01/2020",1
"57","02/02/2019",2
"58","02/02/2021",1
"59","02/03/2020",1
"60","02/03/2021",3
"61","02/04/2019",1
"62","02/04/2020",2
"63","02/04/2021",1
"64","02/05/2020",1
"65","02/06/2019",1
"66","02/06/2020",4
"67","02/06/2021",1
"68","02/07/2020",2
"69","02/07/2021",1
"70","02/08/2019",2
"71","02/08/2020",2
"72","02/08/2021",1
"73","02/09/2019",2
"74","02/09/2020",1
"75","02/10/2020",1
"76","02/10/2021",3
"77","02/11/2019",4
"78","02/11/2020",2
"79","02/12/2020",4
"80","02/13/2020",1
"81","02/13/2021",1
"82","02/14/2021",1
"83","02/15/2019",2
"84","02/15/2021",1
"85","02/16/2019",2
"86","02/16/2021",1
"87","02/17/2019",2
"88","02/17/2021",1
"89","02/18/2019",3
"90","02/19/2019",1
"91","02/19/2021",1
"92","02/20/2019",1
"93","02/22/2019",3
"94","02/22/2021",1
"95","02/23/2019",1
"96","02/24/2019",1
"97","02/24/2020",2
"98","02/25/2019",1
"99","02/25/2020",1
"100","02/25/2021",2
"101","02/26/2020",3
"102","02/27/2019",2
"103","03/02/2019",1
"104","03/02/2020",1
"105","03/02/2021",3
"106","03/03/2021",2
"107","03/04/2020",3
"108","03/04/2021",1
"109","03/05/2019",6
"110","03/05/2020",1
"111","03/05/2021",1
"112","03/06/2019",1
"113","03/06/2020",2
"114","03/06/2021",1
"115","03/07/2019",4
"116","03/07/2020",1
"117","03/08/2019",6
"118","03/08/2020",3
"119","03/08/2021",1
"120","03/09/2019",1
"121","03/09/2020",1
"122","03/09/2021",3
"123","03/10/2019",1
"124","03/10/2020",3
"125","03/11/2019",5
"126","03/11/2020",1
"127","03/11/2021",1
"128","03/12/2019",2
"129","03/12/2020",3
"130","03/12/2021",6
"131","03/13/2019",3
"132","03/14/2019",1
"133","03/14/2020",1
"134","03/14/2021",1
"135","03/15/2019",1
"136","03/16/2019",3
"137","03/16/2020",1
"138","03/16/2021",1
"139","03/17/2019",2
"140","03/18/2019",2
"141","03/18/2020",1
"142","03/18/2021",5
"143","03/19/2019",4
"144","03/19/2021",1
"145","03/20/2020",1
"146","03/20/2021",3
"147","03/21/2019",2
"148","03/21/2021",3
"149","03/22/2019",3
"150","03/22/2021",1
"151","03/23/2020",1
"152","03/23/2021",5
"153","03/24/2019",1
"154","03/24/2020",2
"155","03/24/2021",2
"156","03/25/2019",1
"157","03/25/2020",3
"158","03/25/2021",2
"159","03/26/2021",3
"160","03/27/2021",1
"161","03/28/2020",4
"162","03/28/2021",2
"163","03/29/2019",1
"164","03/29/2020",1
"165","03/29/2021",3
"166","03/30/2021",6
"167","03/31/2019",3
"168","04/01/2019",2
"169","04/01/2021",2
"170","04/03/2019",2
"171","04/04/2019",3
"172","04/05/2019",1
"173","04/05/2021",1
"174","04/06/2019",4
"175","04/06/2021",1
"176","04/07/2019",2
"177","04/07/2021",5
"178","04/08/2019",2
"179","04/08/2020",1
"180","04/08/2021",2
"181","04/09/2021",3
"182","04/10/2021",2
"183","04/12/2019",1
"184","04/12/2020",1
"185","04/12/2021",1
"186","04/13/2019",1
"187","04/13/2021",2
"188","04/14/2020",1
"189","04/14/2021",2
"190","04/15/2021",3
"191","04/16/2019",1
"192","04/17/2019",1
"193","04/17/2021",4
"194","04/18/2019",1
"195","04/19/2020",1
"196","04/19/2021",6
"197","04/20/2021",2
"198","04/21/2019",2
"199","04/21/2020",2
"200","04/21/2021",3
"201","04/22/2020",1
"202","04/22/2021",2
"203","04/23/2020",2
"204","04/23/2021",6
"205","04/24/2021",2
"206","04/25/2019",1
"207","04/25/2020",2
"208","04/25/2021",10
"209","04/26/2019",2
"210","04/26/2020",2
"211","04/26/2021",4
"212","04/27/2019",1
"213","04/27/2021",4
"214","04/28/2021",3
"215","04/29/2021",2
"216","04/30/2019",1
"217","04/30/2020",1
"218","04/30/2021",1
"219","05/01/2019",2
"220","05/01/2021",6
"221","05/02/2019",2
"222","05/02/2021",2
"223","05/03/2020",1
"224","05/03/2021",4
"225","05/04/2019",2
"226","05/04/2021",1
"227","05/05/2019",1
"228","05/05/2020",1
"229","05/06/2019",1
"230","05/07/2019",1
"231","05/07/2020",1
"232","05/08/2019",4
"233","05/08/2020",2
"234","05/08/2021",2
"235","05/09/2019",3
"236","05/10/2019",2
"237","05/10/2020",2
"238","05/11/2019",3
"239","05/11/2021",3
"240","05/12/2020",4
"241","05/12/2021",3
"242","05/13/2021",1
"243","05/14/2019",2
"244","05/14/2021",4
"245","05/15/2021",2
"246","05/16/2020",2
"247","05/16/2021",2
"248","05/17/2019",1
"249","05/17/2021",1
"250","05/18/2019",2
"251","05/18/2021",4
"252","05/19/2019",1
"253","05/19/2021",1
"254","05/20/2019",1
"255","05/20/2020",1
"256","05/20/2021",7
"257","05/21/2020",1
"258","05/21/2021",8
"259","05/22/2019",1
"260","05/22/2021",7
"261","05/23/2019",3
"262","05/23/2021",12
"263","05/24/2020",2
"264","05/24/2021",5
"265","05/25/2019",1
"266","05/25/2021",3
"267","05/26/2019",1
"268","05/26/2020",1
"269","05/26/2021",4
"270","05/27/2021",3
"271","05/28/2021",1
"272","05/30/2019",1
"273","05/31/2019",1
"274","05/31/2021",8
"275","06/01/2019",1
"276","06/01/2021",4
"277","06/02/2019",3
"278","06/02/2020",1
"279","06/02/2021",3
"280","06/03/2021",5
"281","06/04/2020",3
"282","06/04/2021",3
"283","06/05/2019",1
"284","06/06/2020",2
"285","06/06/2021",5
"286","06/07/2019",2
"287","06/08/2019",2
"288","06/09/2020",1
"289","06/09/2021",2
"290","06/10/2019",2
"291","06/10/2021",1
"292","06/11/2019",2
"293","06/11/2021",4
"294","06/12/2019",1
"295","06/12/2020",2
"296","06/12/2021",1
"297","06/13/2019",4
"298","06/13/2021",2
"299","06/14/2019",1
"300","06/14/2020",1
"301","06/14/2021",1
"302","06/15/2021",1
"303","06/16/2021",1
"304","06/17/2019",2
"305","06/17/2021",1
"306","06/18/2020",1
"307","06/18/2021",3
"308","06/19/2019",3
"309","06/19/2021",3
"310","06/20/2019",1
"311","06/20/2021",3
"312","06/21/2019",1
"313","06/21/2021",7
"314","06/22/2019",3
"315","06/22/2021",4
"316","06/23/2020",1
"317","06/23/2021",1
"318","06/24/2019",1
"319","06/24/2021",1
"320","06/25/2020",1
"321","06/25/2021",2
"322","06/26/2019",2
"323","06/26/2021",2
"324","06/27/2019",1
"325","06/27/2020",2
"326","06/27/2021",1
"327","06/28/2020",1
"328","06/28/2021",1
"329","06/29/2019",3
"330","06/29/2021",2
"331","06/30/2019",1
"332","06/30/2020",2
"333","06/30/2021",6
"334","07/01/2021",1
"335","07/02/2019",1
"336","07/02/2020",1
"337","07/02/2021",2
"338","07/03/2020",1
"339","07/03/2021",1
"340","07/04/2020",2
"341","07/04/2021",1
"342","07/05/2021",2
"343","07/06/2019",1
"344","07/06/2020",1
"345","07/06/2021",2
"346","07/07/2020",4
"347","07/08/2019",1
"348","07/08/2020",2
"349","07/08/2021",1
"350","07/09/2019",3
"351","07/09/2020",1
"352","07/10/2020",1
"353","07/11/2020",1
"354","07/11/2021",3
"355","07/13/2019",4
"356","07/14/2019",1
"357","07/14/2020",2
"358","07/14/2021",2
"359","07/15/2019",1
"360","07/15/2021",2
"361","07/16/2019",1
"362","07/17/2020",3
"363","07/17/2021",1
"364","07/18/2019",1
"365","07/18/2020",1
"366","07/19/2019",2
"367","07/20/2021",1
"368","07/21/2021",3
"369","07/22/2019",2
"370","07/22/2021",1
"371","07/23/2019",1
"372","07/23/2020",4
"373","07/23/2021",4
"374","07/24/2019",1
"375","07/24/2020",1
"376","07/25/2021",4
"377","07/26/2019",3
"378","07/26/2020",1
"379","07/26/2021",1
"380","07/27/2019",2
"381","07/27/2021",3
"382","07/28/2019",2
"383","07/28/2020",1
"384","07/29/2020",2
"385","07/30/2019",1
"386","07/30/2020",1
"387","07/30/2021",1
"388","07/31/2019",1
"389","07/31/2020",1
"390","07/31/2021",1
"391","08/01/2020",3
"392","08/01/2021",1
"393","08/03/2019",3
"394","08/03/2021",3
"395","08/04/2019",3
"396","08/04/2020",2
"397","08/04/2021",1
"398","08/05/2019",1
"399","08/05/2021",2
"400","08/06/2019",2
"401","08/06/2020",2
"402","08/06/2021",2
"403","08/07/2019",2
"404","08/07/2021",1
"405","08/08/2019",2
"406","08/08/2021",1
"407","08/09/2019",2
"408","08/09/2020",2
"409","08/09/2021",1
"410","08/10/2020",1
"411","08/11/2020",1
"412","08/11/2021",1
"413","08/12/2019",2
"414","08/12/2020",1
"415","08/12/2021",2
"416","08/13/2020",1
"417","08/14/2019",2
"418","08/14/2021",1
"419","08/15/2019",3
"420","08/15/2021",1
"421","08/16/2019",3
"422","08/16/2020",1
"423","08/16/2021",1
"424","08/17/2019",1
"425","08/17/2021",2
"426","08/18/2020",1
"427","08/19/2020",2
"428","08/19/2021",1
"429","08/20/2019",6
"430","08/20/2021",3
"431","08/21/2019",1
"432","08/21/2020",1
"433","08/22/2021",1
"434","08/23/2019",3
"435","08/24/2020",1
"436","08/24/2021",1
"437","08/25/2019",1
"438","08/25/2020",1
"439","08/25/2021",1
"440","08/26/2019",1
"441","08/26/2021",2
"442","08/27/2019",2
"443","08/27/2021",3
"444","08/28/2019",2
"445","08/29/2019",2
"446","08/29/2021",2
"447","08/30/2019",1
"448","08/30/2021",1
"449","08/31/2020",1
"450","08/31/2021",3
"451","09/01/2019",1
"452","09/01/2020",1
"453","09/02/2019",1
"454","09/02/2020",1
"455","09/03/2019",1
"456","09/03/2020",2
"457","09/03/2021",1
"458","09/04/2019",1
"459","09/04/2021",2
"460","09/05/2019",3
"461","09/05/2021",3
"462","09/06/2020",1
"463","09/06/2021",2
"464","09/07/2020",1
"465","09/09/2021",2
"466","09/10/2020",2
"467","09/10/2021",1
"468","09/11/2019",2
"469","09/11/2021",5
"470","09/12/2019",6
"471","09/12/2020",1
"472","09/12/2021",3
"473","09/14/2019",2
"474","09/14/2020",1
"475","09/14/2021",2
"476","09/15/2019",3
"477","09/15/2020",1
"478","09/15/2021",2
"479","09/16/2020",1
"480","09/16/2021",1
"481","09/17/2021",4
"482","09/18/2020",1
"483","09/18/2021",1
"484","09/19/2021",2
"485","09/21/2020",2
"486","09/21/2021",2
"487","09/22/2019",3
"488","09/22/2021",4
"489","09/23/2019",1
"490","09/23/2021",4
"491","09/24/2020",2
"492","09/25/2019",2
"493","09/25/2020",1
"494","09/25/2021",3
"495","09/26/2019",2
"496","09/27/2020",2
"497","09/29/2020",1
"498","09/30/2019",1
"499","09/30/2021",1
"500","10/01/2019",1
"501","10/01/2020",3
"502","10/02/2019",3
"503","10/02/2020",1
"504","10/03/2019",3
"505","10/03/2020",1
"506","10/04/2019",1
"507","10/05/2019",1
"508","10/05/2020",2
"509","10/06/2019",2
"510","10/06/2020",2
"511","10/07/2019",3
"512","10/07/2020",1
"513","10/08/2019",1
"514","10/08/2020",1
"515","10/09/2020",2
"516","10/10/2019",2
"517","10/10/2020",1
"518","10/11/2019",2
"519","10/13/2019",3
"520","10/13/2020",2
"521","10/14/2019",1
"522","10/15/2019",2
"523","10/16/2019",1
"524","10/16/2020",1
"525","10/17/2019",3
"526","10/18/2019",1
"527","10/18/2020",2
"528","10/19/2020",1
"529","10/20/2020",1
"530","10/21/2019",2
"531","10/22/2019",6
"532","10/22/2020",1
"533","10/23/2020",1
"534","10/24/2019",1
"535","10/24/2020",1
"536","10/25/2019",2
"537","10/25/2020",1
"538","10/26/2019",1
"539","10/27/2019",1
"540","10/27/2020",2
"541","10/28/2019",2
"542","10/29/2019",1
"543","10/30/2019",2
"544","11/01/2020",1
"545","11/03/2019",2
"546","11/03/2020",1
"547","11/04/2019",1
"548","11/05/2019",2
"549","11/06/2019",1
"550","11/06/2020",1
"551","11/07/2019",1
"552","11/07/2020",2
"553","11/10/2019",3
"554","11/11/2019",3
"555","11/11/2020",1
"556","11/12/2019",1
"557","11/13/2019",1
"558","11/14/2019",2
"559","11/15/2019",1
"560","11/17/2019",1
"561","11/17/2020",3
"562","11/18/2019",1
"563","11/18/2020",1
"564","11/19/2019",1
"565","11/19/2020",1
"566","11/20/2019",1
"567","11/20/2020",1
"568","11/21/2019",2
"569","11/21/2020",1
"570","11/22/2019",1
"571","11/22/2020",1
"572","11/24/2019",4
"573","11/25/2019",2
"574","11/26/2019",2
"575","11/27/2019",1
"576","11/28/2019",1
"577","11/28/2020",1
"578","11/29/2019",1
"579","11/29/2020",1
"580","12/02/2019",1
"581","12/04/2019",2
"582","12/04/2020",1
"583","12/05/2019",1
"584","12/07/2019",1
"585","12/07/2020",1
"586","12/08/2019",1
"587","12/09/2020",1
"588","12/11/2019",2
"589","12/12/2019",4
"590","12/12/2020",2
"591","12/13/2020",2
"592","12/16/2020",1
"593","12/18/2019",1
"594","12/18/2020",4
"595","12/21/2020",1
"596","12/22/2019",1
"597","12/23/2019",1
"598","12/24/2019",4
"599","12/25/2019",1
"600","12/26/2019",1
"601","12/26/2020",6
"602","12/27/2019",6
"603","12/27/2020",3
"604","12/28/2019",2
"605","12/28/2020",4
"606","12/29/2019",1
"607","12/30/2019",2
"608","12/30/2020",1
"609","12/31/2019",4
